人,,rén,man,level1
口,,kǒu,mouth,level1
一,,yī,one,level1
又,,yòu,again,level1
白,,bái,white,level1
勹,,bāo,wrap,level1
丶,,zhǔ,dot,level1
日,,rì,sun,level1
土,,tǔ,earth,level1
木,,mù,tree,level1
止,,zhǐ,stop,level1
大,,dà,big,level1
月,,yuè,moon,level1
水,,shuǐ,water,level1
手,,shǒu,hand,level1
丿,,piě,slash,level1
卜,,bǔ,divination,level1
八,,bā,eight,level1
言,,,,level1
十,,shí,ten,level1
龰,,,,level1
心,,xīn,heart,level2
寸,,cùn,inch,level2
乚,,yǐ,second,level2
㇆,,,,level2
丨,,gǔn,line,level2
刀,,dāo,knife,level2
㇇,,,,level2
亅,,jué,hook,level2
女,,nǚ,woman,level2
力,,lì,power,level2
足,,zú,foot,level2
𠂇,,,,level2
子,,zǐ,child,level2
亻,,rén,man,level2
目,,mù,eye,level2
二,,èr,two,level2
王,,yù,jade,level2
戈,,gē,halberd,level2
儿,,ér,"son, legs",level2
⺊,,,,level2
辶,,chuò,walk,level2
文,,wén,script,level2
竹,,zhú,bamboo,level3
田,,tián,field,level3
囗,,wéi,enclosure,level3
小,,xiǎo,small,level3
生,,shēng,life,level3
门,門,mén,gate,level3
⺀,,,,level3
丷,,bā,horns,level3
自,,zì,self,level3
火,,huǒ,fire,level3
里,,lǐ,village,level3
斤,,jīn,axe,level3
夕,,xī,evening,level3
至,,zhì,arrive,level4
刂,,dāo,knife,level4
牛,,niú,cow,level4
厶,,sī,private,level4
讠,訁,yán,speech,level4
贝,貝,bèi,shell,level4
玉,,yù,jade,level4
干,,gān,dry,level4
立,,lì,stand,level4
禾,,hé,grain,level4
见,見,jiàn,see,level4
工,,gōng,work,level4
羊,,yáng,sheep,level4
而,,ér,and,level4
甘,,gān,sweet,level4
几,,jī,table,level4
耂,,lǎo,old,level4
广,,guǎng,dotted cliff,level4
出,,,,level5
方,,fāng,square,level5
首,,shǒu,head,level5
车,車,chē,cart,level5
覀,,xī,west,level5
衣,,yī,clothes,level5
厂,,hàn,cliff,level5
西,,xī,west,level5
用,,yòng,use,level5
⺈,,,,level5
亠,,tóu,lid,level5
尢,,wāng,lame,level5
示,,shì,spirit,level5
彳,,chì,step,level5
㇗,,,,level5
犬,,quǎn,dog,level5
阝,,fù,mound,level6
己,,jǐ,oneself,level6
匕,,bǐ,spoon,level6
⺁,,,,level6
山,,shān,mountain,level6
走,,zǒu,run,level6
行,,xíng,walk enclosure,level6
尸,,shī,corpse,level6
⺺,,,,level6
廿,,,,level7
从,,,,level7
戶,,hù,door,level7
金,,,,level7
宀,,mián,roof,level7
豕,,shǐ,pig,level7
乂,,,,level7
巾,,jīn,turban,level7
多,,,,level7
户,,hù,door,level7
廾,,gǒng,two hands,level7
灬,,huǒ,fire,level7
夂,,zhǐ,go,level8
青,,qīng,blue,level8
冖,,mì,cover,level8
页,頁,yè,leaf,level8
冂,,jiōng,down box,level8
米,,mǐ,rice,level8
无,,wú,not,level8
长,镸,cháng,long,level8
入,,rù,enter,level8
马,馬,mǎ,horse,level8
士,,shì,scholar,level8
丬,,qiáng,half tree trunk,level9
扌,,shǒu,hand,level9
⺌,,xiǎo,small,level9
彐,,jì,snout,level9
纟,糹,mì,silk,level9
龴,,MA!,ma,level9
氵,,shuǐ,water,level9
耳,,ěr,ear,level9
龵,,shǒu,hand,level9
⺍,,xiǎo,small,level9
片,,piàn,slice,level9
欠,,qiàn,lack,level10
矢,,shǐ,arrow,level10
面,,miàn,face,level10
凵,,qū,open box,level10
殳,,shū,weapon,level10
石,,shí,stone,level10
高,,gāo,tall,level10
舌,,shé,tongue,level10
㇎,,,,level10
㇏,,,,level10
网,,wǎng,net,level11
音,,yīn,sound,level11
已,,,,level11
